"email","_website","_store","confirmation","created_at","created_in","disable_auto_group_change","dob","firstname","gender","group_id","lastname","middlename","password_hash","prefix","rp_token","rp_token_created_at","store_id","suffix","taxvat","website_id","password","_address_city","_address_company","_address_country_id","_address_fax","_address_firstname","_address_lastname","_address_middlename","_address_postcode","_address_prefix","_address_region","_address_street","_address_suffix","_address_telephone","_address_vat_id","_address_default_billing_","_address_default_shipping_"
"carlos.graham@example.com","base","admin","","2002-10-09 02:24:10","Admin","0","1985-10-28 07:36:08","Carlos","Male","1","Graham","","","","","","0","","","1","onetwothree","Australian capital territory","","US","","Carlos","Graham","","731","","","5928 valley view ln","","7868268124","","1","1"
"luke.rice@example.com","base","admin","","2004-09-08 23:40:17","Admin","0","1957-05-24 18:13:59","Luke","Male","1","Rice","","","","","","0","","","1","onetwothree","Darwin","","US","","Luke","Rice","","8889","","","8870 plum st","","7861153619","","1","1"
"eemil.lammi@example.com","base","admin","","2015-11-22 14:38:20","Admin","0","1983-10-13 02:54:21","Eemil","Male","1","Lammi","","","","","","0","","","1","onetwothree","Halsua","","US","","Eemil","Lammi","","62965","","","9917 korkeavuorenkatu","","7866865967","","1","1"
"albert.ryan@example.com","base","admin","","2015-06-01 05:21:38","Admin","0","1954-05-03 22:30:33","Albert","Male","1","Ryan","","","","","","0","","","1","onetwothree","Gladstone","","US","","Albert","Ryan","","4919","","","8751 shady ln dr","","7862585229","","1","1"
"inaya.picard@example.com","base","admin","","2010-07-09 14:12:00","Admin","0","1991-10-12 00:01:23","Inaya","Female","1","Picard","","","","","","0","","","1","onetwothree","Bussy-chardonney","","US","","Inaya","Picard","","6825","","","8163 avenue debrousse","","7867519746","","1","1"
"vernon.ferguson@example.com","base","admin","","2007-11-09 15:46:22","Admin","0","1963-01-20 15:38:07","Vernon","Male","1","Ferguson","","","","","","0","","","1","onetwothree","Kilcock","","US","","Vernon","Ferguson","","81780","","","2774 dublin road","","7868473568","","1","1"
"nouh.erol@example.com","base","admin","","2016-08-05 03:09:44","Admin","0","1948-01-15 14:04:03","Nouh","Male","1","Erol","","","","","","0","","","1","onetwothree","Delfzijl","","US","","Nouh","Erol","","33532","","","1622 massegast","","7869943249","","1","1"
"marian.fox@example.com","base","admin","","2006-05-19 18:41:16","Admin","0","1981-03-25 18:53:59","Marian","Female","1","Fox","","","","","","0","","","1","onetwothree","Lansing","","US","","Marian","Fox","","13066","","","3048 w sherman dr","","7862102684","","1","1"
"guta.moura@example.com","base","admin","","2007-10-15 04:34:36","Admin","0","1982-04-23 08:40:41","Guta","Female","1","Moura","","","","","","0","","","1","onetwothree","Teresópolis","","US","","Guta","Moura","","40197","","","9190 rua duque de caxias ","","7865941105","","1","1"
"willie.stanley@example.com","base","admin","","2014-05-30 04:03:57","Admin","0","1961-02-23 21:57:51","Willie","Male","1","Stanley","","","","","","0","","","1","onetwothree","Winchester","","US","","Willie","Stanley","","PB5P 0LW","","","9487 queens road","","7868306851","","1","1"
